RB,,lig,,jug,,pn,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
700,0.002050107345,700,0.004017440602,700,0.00294379238,700,0.002870850964,
699,0.002018898493,699,0.003961141687,699,0.00283603929,699,0.002787630772,
698,0.002048572991,698,0.003984731622,698,0.00292226579,698,0.002805112628,
697,0.002047506627,697,0.004000484943,697,0.002915177261,697,0.002796957735,
696,0.002030393574,696,0.003994214814,696,0.002892296994,696,0.002779007424,
695,0.002011824632,695,0.004028596915,695,0.002921379637,695,0.002765043871,
694,0.002025634283,694,0.00396404136,694,0.002887814771,694,0.002789532766,
693,0.002040484454,693,0.004009498283,693,0.002884922316,693,0.002766085789,
692,0.002024879912,692,0.003974464722,692,0.002891124226,692,0.002775203902,
691,0.002008677926,691,0.00396759389,691,0.002864128212,691,0.002759546973,
690,0.002026310423,690,0.004011692945,690,0.002813788597,690,0.002700831974,
689,0.002071955008,689,0.004071682692,689,0.002906082431,689,0.002739930991,
688,0.002152176574,688,0.004132961389,688,0.002888179617,688,0.002775047673,
687,0.002051615855,687,0.004042705987,687,0.002861730987,687,0.002724587917,
686,0.002087743254,686,0.004083101638,686,0.002870955272,686,0.002721357858,
685,0.002086052671,685,0.004072309937,685,0.00288711139,685,0.002671763999,
684,0.002127541462,684,0.00411960762,684,0.002867724048,684,0.002718232106,
683,0.002142707352,683,0.004102333914,683,0.002899515443,683,0.002765695099,
682,0.002154309768,682,0.004103588406,682,0.002893678145,682,0.002751288936,
681,0.002156208968,681,0.004102516919,681,0.002871163655,681,0.002718909411,
680,0.002156625036,680,0.004109624773,680,0.002841511043,680,0.002733783331,
679,0.002148534637,679,0.004135104362,679,0.002879267791,679,0.00275339908,
678,0.002188936807,678,0.004162754864,678,0.002871919423,678,0.002727036597,
677,0.002116720192,677,0.004130714107,677,0.002868974814,677,0.002722347854,
676,0.002196299611,676,0.00416740682,676,0.002855894156,676,0.002680697944,
675,0.00220681075,675,0.004163408186,675,0.002848520176,675,0.002706640633,
674,0.0022108173,674,0.004149660934,674,0.002892713994,674,0.002685880987,
673,0.002223384334,673,0.004150262102,673,0.002870095428,673,0.002671659924,
672,0.002207383048,672,0.004147047643,672,0.002799328649,672,0.002627618844,
671,0.002271027304,671,0.004210088402,671,0.002849119483,671,0.002687990898,
670,0.002263273112,670,0.004181154072,670,0.002808160847,670,0.002651292598,
669,0.002309645293,669,0.004235887434,669,0.002818061505,669,0.002622670727,
668,0.002322319197,668,0.004230946768,668,0.002835492138,668,0.002643609652,
667,0.002320002997,667,0.004227287602,667,0.002837628825,667,0.002640640596,
666,0.002312377794,666,0.004225039389,666,0.002866603667,666,0.002651605057,
665,0.002385772299,665,0.004257270135,665,0.002869652351,665,0.002654964803,
664,0.002306444338,664,0.004267412703,664,0.00280852546,664,0.002581238514,
663,0.002401780104,663,0.004367232788,663,0.002846566029,663,0.002634676639,
662,0.002392565599,662,0.004318679683,662,0.002828822006,662,0.002636004705,
661,0.002358573256,661,0.004323699512,661,0.002810349455,661,0.002595118247,
660,0.002386266831,660,0.004308718722,660,0.002787292236,660,0.002592123579,
659,0.002378119854,659,0.004328928422,659,0.002846670104,659,0.002619571518,
658,0.00240951078,658,0.004374632612,658,0.002857144922,658,0.002597696381,
657,0.002374658128,657,0.00437282864,657,0.002825200325,657,0.002601810964,
656,0.002427497879,656,0.004349008668,656,0.002827388933,656,0.002537519205,
655,0.002395272721,655,0.004397538956,655,0.002859281609,655,0.002568765543,
654,0.002409823239,654,0.004368435591,654,0.002860766836,654,0.002565406496,
653,0.002423723461,653,0.004414065741,653,0.002833355684,653,0.002591628814,
652,0.002420339501,652,0.004428161308,652,0.002833746374,652,0.002592826728,
651,0.002443038858,651,0.004454234615,651,0.00289052492,651,0.0025895976,
650,0.002447672421,650,0.004380699247,650,0.002831375459,650,0.002524266252,
649,0.002442934783,649,0.004460903816,649,0.002840338508,649,0.002569364384,
648,0.002472377848,648,0.004391943105,648,0.002784426324,648,0.002516897861,
647,0.002490784042,647,0.00443467265,647,0.002828353085,647,0.002519892063,
646,0.002508019563,646,0.004437706433,646,0.002829317003,646,0.00252278219,
645,0.002563713817,645,0.004473143723,645,0.002838749206,645,0.00253392593,
644,0.002568427008,644,0.004493230488,644,0.002833746374,644,0.00251570018,
643,0.002551032929,643,0.00448849611,643,0.002829265082,643,0.002561812988,
642,0.002544861985,642,0.004533092491,642,0.002832912607,642,0.002539784415,
641,0.00251036277,641,0.004488443956,641,0.002770592691,641,0.002485759323,
640,0.002542856848,640,0.004536048509,640,0.002830593847,640,0.002497787587,
639,0.002598138992,639,0.004556582775,639,0.00281631574,639,0.002527286531,
638,0.002574598417,638,0.004530842882,638,0.002801569179,638,0.002486384241,
637,0.00260629016,637,0.004580833018,637,0.002824757481,637,0.002519579604,
636,0.002553350292,636,0.004546459299,636,0.002830072772,636,0.002524865093,
635,0.002539758338,635,0.004556373693,635,0.002808734076,635,0.002496746136,
634,0.002571135061,634,0.004580440465,634,0.002828379162,634,0.002493622014,
633,0.002566343872,633,0.004601421766,633,0.002815247513,633,0.002438847674,
632,0.002580900211,632,0.004608066753,632,0.002813528059,632,0.002496928442,
631,0.002561995294,631,0.004614790436,631,0.002794665052,631,0.002431402681,
630,0.002603607718,630,0.004614031874,630,0.002841016045,630,0.002494715387,
629,0.00259923283,629,0.004620049149,629,0.002814023057,629,0.00247459067,
628,0.002584363567,628,0.004594645929,628,0.00282217795,628,0.002463864861,
627,0.002568869619,627,0.004586509895,627,0.002788568847,627,0.002452124143,
626,0.002632879652,626,0.004687554203,626,0.002876271028,626,0.002486097859,
625,0.002650250914,625,0.004649875686,625,0.00280644116,625,0.002449702937,
624,0.002639208222,624,0.004636479542,624,0.002820666879,624,0.00240188418,
623,0.002675618744,623,0.004660080187,623,0.002826451091,623,0.002452228218,
622,0.002659731079,622,0.004634622019,622,0.002770410385,622,0.002393528819,
621,0.002761136042,621,0.004731464665,621,0.002869209275,621,0.002437259769,
620,0.002757280599,620,0.004701213911,620,0.002764236182,620,0.002395975403,
619,0.002777027432,619,0.004742560908,619,0.002855581464,619,0.002458137693,
618,0.002815690357,618,0.004707546439,618,0.002837159671,618,0.002440487733,
617,0.002806258854,617,0.004694043659,617,0.002809671918,617,0.002446579281,
616,0.00289182784,616,0.004741068929,616,0.002767388476,616,0.002397303004,
615,0.002915646415,615,0.004762241151,615,0.002810062841,615,0.00240672566,
614,0.00295797037,614,0.004749338608,614,0.002871528501,614,0.002400556579,
613,0.003016928677,613,0.004771636799,613,0.002785859164,613,0.002398292068,
612,0.003100088565,612,0.004820894916,612,0.002811573911,612,0.002449572785,
611,0.003135859966,611,0.004812649917,611,0.00281800935,611,0.002422526013,
610,0.003213305259,610,0.004865551833,610,0.002831297228,610,0.002432521898,
609,0.003277019132,609,0.004831050988,609,0.00285975053,609,0.002473939909,
608,0.003276366973,608,0.004853274673,608,0.002844325034,608,0.002410916612,
607,0.003358793911,607,0.004842463881,607,0.002794951666,607,0.002434630645,
606,0.003491153242,606,0.004912071861,606,0.002872935729,606,0.002467691898,
605,0.003548696171,605,0.00492424611,605,0.002818295965,605,0.002396938624,
604,0.003656469751,604,0.004978130106,604,0.002862304216,604,0.002466207836,
603,0.003726436291,603,0.004954460077,603,0.002893287223,603,0.002447438193,
602,0.003770823823,602,0.005012118723,602,0.002821917413,602,0.002475397894,
601,0.00393475825,601,0.0049800938,601,0.002900870517,601,0.002433016663,
600,0.004046964459,600,0.004988106433,600,0.002809593687,600,0.002417423995,
599,0.004276275169,599,0.005003843922,599,0.002881117864,599,0.002458111616,
598,0.004444296937,598,0.005024583545,598,0.002815247513,598,0.002420157194,
597,0.0046845451,597,0.005070335232,597,0.002840547124,597,0.002429580549,
596,0.004958256613,596,0.005116301123,596,0.002883332781,596,0.002460402437,
595,0.005233869888,595,0.005078454036,595,0.002791434526,595,0.002381659811,
594,0.005625261925,594,0.005130052567,594,0.002873378573,594,0.002404408995,
593,0.00609357655,593,0.005178408232,593,0.002909808885,593,0.002420547651,
592,0.006633569021,592,0.005145611707,592,0.002837628825,592,0.002386683132,
591,0.007322924677,591,0.005224018823,591,0.002930422779,591,0.002463214099,
590,0.008054142818,590,0.005169082433,590,0.00284726941,590,0.002383715939,
589,0.009008696303,589,0.005308231339,589,0.002876271028,589,0.002387125744,
588,0.01016129274,588,0.005333912093,588,0.00289503322,588,0.002427888336,
587,0.01150851138,587,0.005310851615,587,0.002881795401,587,0.002364689484,
586,0.01316284947,586,0.005347696599,586,0.002935322467,586,0.002436660929,
585,0.01507048495,585,0.005423493218,585,0.002946476918,585,0.002444678918,
584,0.01721082628,584,0.005375529174,584,0.002864753595,584,0.002373434836,
583,0.01999728568,583,0.005445432384,583,0.002903163666,583,0.002422864549,
582,0.02313368954,582,0.00553144468,582,0.002902512206,582,0.002373226685,
