10uMRB_20uMFFA_1mMISOP;RB1;10uMPN_20uMFFA_1mMISOP;PN1;20uMFFA_1mMISOP;BLANK1;10µMRB_20µMFFA_isop;RB2;10µMPN_20µMFFA_isop-no2;PN2;10µMRB_20µMFFA_1mMisop_no3;RB3;10µMPN_20µMFFA_1mMisop_no3;PN3;30uMJUG_20uMFFA_1mMisop;JUG1;30uM_JUG_20uM_FFA_1mMisop_no2;JUG2;20uM_FFA_1mMisop;BLANK2;30uMJUG_20uMFFA_1mMisop;JUG3;40mgprL_LIG_20uMFFA_1mMisop;LIG2;40mgCprL_LIG_27082024;LIG3;30uMPN_20uMFFA_1mMisop_no1;PN5;30uMPN_20uMFFA_1mMisop_no2;PN6;10uMPN_20uMFFA_1mMisop_no1;PN4
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
781.0120239;0.0006801943528;781.0120239;0.002431428758;780.9835205;-0.0002083320724;780.9835205;0.006383256055;780.9835205;0.0004516860936;780.9967651;-0.0002823758696;780.9967651;-0.0006521988544;781.015625;0.0002900973777;780.9838257;0.002378796693;780.9838257;-0.0002314624144;781.015625;0.0002900973777;781.015625;0.002272875048;781.0131226;0.001925414777;780.9987183;0.0002971949289;780.9987183;-0.0001872187422;780.992981;-0.0002042440319
780.0024414;0.0009199254564;780.0024414;0.001606058097;780.008667;-0.0006237661;780.008667;0.005092780571;780.008667;-0.0002583686437;779.9869385;0.0002059976105;779.9869385;-0.0004738687712;780.0058594;-0.0008151602233;780.0087891;0.001749267918;780.0087891;-0.0003245922562;780.0058594;-0.0008151602233;780.0058594;0.001818433986;780.0031128;0.001741886605;779.9888916;4.506980986E-005;779.9888916;-0.000228512974;779.9831543;0.0002072925272
778.9923096;0.0005990777863;778.9923096;0.001680918387;778.9986572;-0.0007610532921;778.9986572;0.005576672498;778.9986572;-0.0006950512761;779.0117188;-0.0006589707336;779.0117188;-0.0001674499363;778.9957886;0.0003557412128;778.9985352;0.002417814452;778.9985352;0.0007237531245;778.9957886;0.0003557412128;778.9957886;0.002945225919;778.9927979;0.001984623028;779.0134888;9.058444994E-005;779.0134888;0.0006790795014;779.0079346;-0.0001273920498
778.0167236;0.0006573018618;778.0167236;0.001796209137;777.9882202;-0.0001093285682;777.9882202;0.005921845324;777.9882202;-0.001029299689;778.0011597;-0.00101210014;778.0011597;-0.001206162851;777.9852295;0.0001682654984;777.9879761;0.001727332477;777.9879761;-0.0006970154354;777.9852295;0.0001682654984;777.9852295;0.002362581436;778.0169067;0.002127541462;778.0029297;0.0002469187602;778.0029297;0.000247928896;777.9973755;0.0004861775378
777.0058594;0.0009844192537;777.0058594;0.002294265432;777.0123291;-0.0007291647489;777.0123291;0.005110643338;777.0123291;-0.001387856551;776.9902954;0.0004303602909;776.9902954;0.000295511185;777.0092773;-0.0009810047923;777.0118408;0.001946736127;777.0118408;-0.0004769717052;777.0092773;-0.0009810047923;777.0092773;0.001556695439;777.0057983;0.002315162448;776.9919434;0.0007388960221;776.9919434;0.0005069618346;776.9865112;-0.0004541647213
775.9945679;0.001109386911;775.9945679;0.002335097641;776.0011597;6.070683958E-005;776.0011597;0.006083889864;776.0011597;-0.000514618645;776.013855;-0.0002094187512;776.013855;-0.0002766328689;775.9978638;-0.0003702703107;776.0004883;0.001563034253;776.0004883;-0.0009638550109;775.9978638;-0.0003702703107;775.9978638;0.002692653332;775.9942627;0.0011090755;776.0154419;0.0004171973851;776.0154419;0.000553587568;776.0100708;-0.0001697787666
774.9829712;0.0009765321156;774.9829712;0.002217712346;774.989624;-0.000535405823;774.989624;0.005335537251;774.989624;-0.001103306888;775.0021973;0.0003017280833;775.0021973;0.0006175344461;774.9862671;4.975568299E-005;774.9887085;0.001696276595;774.9887085;-0.0003665458935;774.9862671;4.975568299E-005;774.9862671;0.002394778188;775.0172729;0.002289060736;775.0036621;0.0005127152544;775.0036621;4.367182555E-005;774.9984131;5.816966586E-005
774.0058594;0.0006540093455;774.0058594;0.002012084704;774.0125732;-0.0004791954416;774.0125732;0.00527110137;774.0125732;-0.0006943793269;773.9901123;-0.0003481819876;773.9901123;-0.0006051545497;774.0090942;9.886976477E-005;774.0114136;0.001786279841;774.0114136;-0.0005357160699;774.0090942;9.886976477E-005;774.0090942;0.00262756669;774.0050049;0.002270533005;773.9915161;4.695968528E-005;773.9915161;-0.0004475965106;773.9863281;-0.0003292999463
772.9934082;0.0008902761037;772.9934082;0.001790828537;773.0001831;-5.373594468E-005;773.0001831;0.005603208672;773.0001831;-0.0006415497046;773.0125122;-0.000513119041;773.0125122;-0.0005578983109;772.9966431;-4.866289237E-005;772.9989014;0.001503701671;772.9989014;-0.0009326012805;772.9966431;-4.866289237E-005;772.9966431;0.002204703167;772.9922485;0.001955420943;773.013916;0.0004072736483;773.013916;-0.0002241146431;773.008728;-0.0002122130827
772.015625;0.000417896983;772.015625;0.002474408597;771.9874268;-9.913194663E-005;771.9874268;0.005971969105;771.9874268;-0.0004980709637;771.9996948;-0.0006336919032;771.9996948;-0.0005566573818;771.9838257;-0.0007511303411;771.9859619;0.0022905441;771.9859619;-0.0001280131255;771.9838257;-0.0007511303411;771.9838257;0.002201242838;772.0140991;0.001799198333;772.0009766;0.0008374932804;772.0009766;-0.000242639042;771.9959106;-0.0001988104923
771.0024414;0.0018854792;771.0024414;0.001696172636;771.0092773;-0.0006066538044;771.0092773;0.005655524787;771.0092773;-0.0008908056188;770.9864502;-0.0003051918466;770.9864502;-0.0007244613953;771.0055542;0.0003018576244;771.0075684;0.001584675629;771.0075684;-0.000572944351;771.0055542;0.0003018576244;771.0055542;0.002588373609;771.0006714;0.001737520332;770.9876709;0.0003814937081;770.9876709;-0.0001842689962;770.982666;8.464794519E-006
769.9888306;0.001113175997;769.9888306;0.001365091186;769.9957886;-0.0008789739804;769.9957886;0.005201802589;769.9957886;-0.001224283944;770.0078125;-0.0006816635723;770.0078125;-0.0006922083558;769.9919434;-0.0005077411188;769.9938354;0.00178575993;769.9938354;-0.0006786137819;769.9919434;-0.0005077411188;769.9919434;0.002287161071;769.9868774;0.002104000421;770.0089722;0.0005099940463;770.0089722;0.0004736607953;770.0040283;-6.688418944E-005
769.0098877;0.00110064121;769.0098877;0.002302723005;769.0168457;-0.0003094341373;769.0168457;0.005243066233;769.0168457;-0.001310645952;768.9937744;-0.0002034160716;768.9937744;-0.0002101432183;769.0129395;0.0002016985236;769.0147705;0.0007843018975;769.0147705;-0.001010447275;769.0129395;0.0002016985236;769.0129395;0.002460949123;769.0075684;0.001640121685;768.994873;0.000341233419;768.994873;0.0004676746612;768.9899902;2.878615123E-005
