Wave   ;Sample   ;Dark     ;Reference;Absolute Irradiance  ;Photon Counts
 588,68; 2690,561;   11,005;    0,000;98,28901; 4,83590
 589,44; 2681,605;   10,005;    0,000;98,02391; 4,82910
 590,20; 2672,649;    8,005;    0,000;97,91026; 4,82974
 590,97; 2680,693;   10,005;    0,000;98,25596; 4,85305
 591,73; 2657,737;   10,005;    0,000;97,46706; 4,82029
 592,49; 2649,781;   12,005;    0,000;97,21569; 4,81405
 593,25; 2642,825;    8,005;    0,000;97,18293; 4,81862
 594,01; 2632,869;   11,005;    0,000;96,76618; 4,80412
 594,78; 2605,913;    9,005;    0,000;95,92927; 4,76868
 595,54; 2593,958;    8,005;    0,000;95,61803; 4,75929
 596,30; 2557,002;   10,005;    0,000;94,27439; 4,69842
 597,06; 2553,046;    7,005;    0,000;94,29580; 4,70549
 597,82; 2521,090;   10,005;    0,000;93,17176; 4,65533
 598,58; 2512,134;    9,005;    0,000;93,01667; 4,65350
 599,35; 2492,178;    8,005;    0,000;92,37660; 4,62736
 600,11; 2471,222;    8,005;    0,000;91,68879; 4,59874
 600,87; 2462,266;   10,004;    0,000;91,38443; 4,58929
 601,63; 2458,310;    8,004;    0,000;91,33802; 4,59277
 602,39; 2444,355;    8,004;    0,000;90,93356; 4,57822
 603,15; 2438,399;    8,004;    0,000;90,83496; 4,57904
 603,91; 2434,443;    8,004;    0,000;90,75484; 4,58077
 604,68; 2399,487;   11,004;    0,000;89,44945; 4,52057
 605,44; 2393,531;    7,004;    0,000;89,41889; 4,52472
 606,20; 2412,575;    8,004;    0,000;90,17160; 4,56854
 606,96; 2407,619;    8,004;    0,000;90,04993; 4,56811
 607,72; 2403,663;   10,004;    0,000;89,90681; 4,56656
 608,48; 2374,707;    8,004;    0,000;88,95190; 4,52372
 609,24; 2388,752;    8,004;    0,000;89,48992; 4,55677
 610,00; 2381,796;   11,004;    0,000;89,16770; 4,54603
 610,76; 2375,840;   11,004;    0,000;89,00571; 4,54343
 611,52; 2407,884;   10,004;    0,000;90,23660; 4,61200
 612,28; 2416,928;   13,004;    0,000;90,56036; 4,63431
 613,04; 2435,972;    9,004;    0,000;91,49096; 4,68775
 613,81; 2438,016;   10,004;    0,000;91,56691; 4,69746
 614,57; 2461,060;   11,004;    0,000;92,42412; 4,74731
 615,33; 2445,104;    8,004;    0,000;91,99831; 4,73129
 616,09; 2468,149;    8,004;    0,000;92,94072; 4,78566
 616,85; 2503,193;   11,004;    0,000;94,23145; 4,85811
 617,61; 2496,237;    9,004;    0,000;94,07296; 4,85591
 618,37; 2511,281;   10,004;    0,000;94,69402; 4,89399
 619,13; 2532,325;    7,004;    0,000;95,68355; 4,95121
 619,89; 2538,369;    8,004;    0,000;95,97662; 4,97247
 620,65; 2547,413;    8,004;    0,000;96,43361; 5,00227
 621,41; 2567,457;   10,004;    0,000;97,18219; 5,04728
 622,17; 2557,501;   11,004;    0,000;96,86317; 5,03686
 622,93; 2556,546;   10,004;    0,000;97,01022; 5,05067
 623,69; 2541,590;   10,004;    0,000;96,52542; 5,03156
 624,45; 2518,634;   11,004;    0,000;95,69882; 4,99455
 625,21; 2491,678;   11,004;    0,000;94,77193; 4,95219
 625,97; 2471,722;   13,004;    0,000;94,06857; 4,92141
 626,73; 2457,766;   11,004;    0,000;93,65986; 4,90597
 627,49; 2431,810;   11,004;    0,000;92,76067; 4,86476
 628,25; 2428,854;   13,004;    0,000;92,67104; 4,86594
 629,00; 2389,898;   11,004;    0,000;91,33788; 4,80174
 629,76; 2401,942;   10,004;    0,000;91,90450; 4,83736
 630,52; 2378,987;   11,004;    0,000;91,08435; 4,79997
 631,28; 2411,031;   12,004;    0,000;92,40167; 4,87526
 632,04; 2406,075;   10,004;    0,000;92,40856; 4,88148
 632,80; 2395,119;   10,004;    0,000;92,13602; 4,87293
 633,56; 2404,163;   10,004;    0,000;92,67742; 4,90745
 634,32; 2383,207;   11,003;    0,000;91,92882; 4,87364
 635,08; 2364,251;   11,003;    0,000;91,34391; 4,84843
 635,84; 2356,295;   11,003;    0,000;91,18584; 4,84582
 636,60; 2339,339;   12,003;    0,000;90,57348; 4,81902
 637,36; 2303,384;    9,003;    0,000;89,43189; 4,76395
 638,11; 2288,428;   11,003;    0,000;88,88106; 4,74025
 638,87; 2267,472;   10,003;    0,000;88,20629; 4,70986
 639,63; 2241,516;   12,003;    0,000;87,18236; 4,66071
 640,39; 2234,560;   10,003;    0,000;87,11022; 4,66238
 641,15; 2221,604;   10,003;    0,000;86,63733; 4,64256
 641,91; 2210,648;   10,003;    0,000;86,33243; 4,63169
 642,67; 2203,692;   10,003;    0,000;86,15566; 4,62767
 643,42; 2193,736;   11,003;    0,000;85,81837; 4,61499
 644,18; 2199,781;   10,003;    0,000;86,21205; 4,64163
 644,94; 2191,825;   13,003;    0,000;85,89004; 4,62974
 645,70; 2205,869;   11,003;    0,000;86,62382; 4,67478
 646,46; 2219,913;   10,003;    0,000;87,32468; 4,71813
 647,21; 2265,957;   11,003;    0,000;89,17690; 4,82386
 647,97; 2324,001;    9,003;    0,000;91,67660; 4,96488
 648,73; 2340,045;    9,003;    0,000;92,48993; 5,01479
 649,49; 2362,089;   10,003;    0,000;93,46492; 5,07358
 650,25; 2367,133;    8,003;    0,000;93,91442; 5,10392
 651,00; 2330,178;   10,003;    0,000;92,57522; 5,03701
 651,76; 2298,222;    5,003;    0,000;91,56298; 4,98773
 652,52; 2241,266;    7,003;    0,000;89,36785; 4,87381
 653,28; 2213,310;   10,003;    0,000;88,29929; 4,82113
 654,04; 2166,354;    9,003;    0,000;86,61314; 4,73455
 654,79; 2134,398;    8,003;    0,000;85,45920; 4,67688
 655,55; 2119,442;    8,003;    0,000;85,01358; 4,65788
 656,31; 2120,486;    8,003;    0,000;85,14307; 4,67036
 657,07; 2097,530;    8,003;    0,000;84,33626; 4,63145
 657,82; 2079,575;    6,003;    0,000;83,80922; 4,60781
 658,58; 2083,619;    6,003;    0,000;84,09167; 4,62866
 659,34; 2066,663;    7,003;    0,000;83,49088; 4,60087
 660,09; 2074,707;    8,003;    0,000;83,93940; 4,63090
 660,85; 2068,751;    9,003;    0,000;83,92474; 4,63540
 661,61; 2073,795;    7,003;    0,000;84,50564; 4,67283
 662,37; 2062,839;    6,003;    0,000;84,41739; 4,67330
 663,12; 2062,883;    9,003;    0,000;84,71163; 4,69494
 663,88; 2042,927;    9,003;    0,000;84,05740; 4,66400
 664,64; 2071,972;    7,003;    0,000;85,29737; 4,73820
 665,39; 2068,016;    7,003;    0,000;85,17577; 4,73683
 666,15; 2102,060;    8,003;    0,000;86,33519; 4,80677
 666,91; 2108,104;    8,003;    0,000;86,31791; 4,81127
 667,66; 2130,148;    9,002;    0,000;86,86102; 4,84703
 668,42; 2149,192;    8,002;    0,000;87,38936; 4,88204
 669,18; 2179,236;    9,002;    0,000;88,16978; 4,93121
 669,93; 2200,280;    8,002;    0,000;88,73700; 4,96855
 670,69; 2174,324;   10,002;    0,000;87,39770; 4,89908
 671,44; 2180,369;   10,002;    0,000;87,52192; 4,91158
 672,20; 2203,413;   11,002;    0,000;88,31174; 4,96148
 672,96; 2181,457;    9,002;    0,000;87,60683; 4,92742
 673,71; 2183,501;    8,002;    0,000;87,84225; 4,94621
 674,47; 2207,545;   12,002;    0,000;88,64864; 4,99722
 675,23; 2210,589;   10,002;    0,000;88,75216; 5,00866
 675,98; 2197,633;   11,002;    0,000;88,00163; 4,97186
 676,74; 2213,677;    8,002;    0,000;88,44692; 5,00261
 677,49; 2216,721;    7,002;    0,000;88,03444; 4,98484
 678,25; 2215,765;    7,002;    0,000;87,48131; 4,95905
 679,00; 2201,810;    9,002;    0,000;86,31775; 4,89854
 679,76; 2199,854;   12,002;    0,000;85,54645; 4,86017
 680,52; 2207,898;   11,002;    0,000;85,41914; 4,85833
 681,27; 2209,942;   11,002;    0,000;85,25153; 4,85418
 682,03; 2265,986;   12,002;    0,000;87,33644; 4,97841
 682,78; 2397,030;   12,002;    0,000;92,43986; 5,27516
 683,54; 2470,074;   10,002;    0,000;95,67152; 5,46561
 684,29; 2509,118;   10,002;    0,000;97,75046; 5,59055
 685,05; 2490,162;   12,002;    0,000;97,56065; 5,58586
 685,80; 2449,207;   10,002;    0,000;96,62977; 5,53866
 686,56; 2451,251;   11,002;    0,000;97,37852; 5,58772
 687,31; 2416,295;   10,002;    0,000;96,83596; 5,56270
 688,07; 2461,339;   11,002;    0,000;99,30229; 5,71064
 688,82; 2527,383;    9,002;    0,000;102,61390; 5,90756
 689,58; 2564,427;   11,002;    0,000;104,55204; 6,02574
 690,33; 2562,471;   11,002;    0,000;105,02432; 6,05958
 691,09; 2549,515;   11,002;    0,000;104,90090; 6,05908
 691,84; 2476,559;   10,002;    0,000;102,22454; 5,91094
 692,60; 2376,604;   10,002;    0,000;98,46196; 5,69959
 693,35; 2312,648;   10,002;    0,000;96,27385; 5,57900
 694,11; 2200,692;   11,002;    0,000;91,91651; 5,33229
 694,86; 2138,736;   11,002;    0,000;89,65504; 5,20675
 695,62; 2062,780;   12,002;    0,000;86,85135; 5,04940
 696,37; 2000,824;   10,002;    0,000;84,67892; 4,92844
 697,12; 1972,868;    9,002;    0,000;83,82174; 4,88384
 697,88; 1946,912;   10,002;    0,000;82,88863; 4,83469
 698,63; 1937,956;    9,002;    0,000;82,85950; 4,83822
 699,39; 1915,001;   11,002;    0,000;82,10954; 4,79960
 700,14; 1919,045;    7,002;    0,000;82,60752; 4,83392
 700,90; 1910,089;    7,001;    0,000;82,41300; 4,82773
 701,65; 1861,133;    9,001;    0,000;80,45870; 4,71832
 702,40; 1826,177;   10,001;    0,000;79,12154; 4,64489
 703,16; 1804,221;    8,001;    0,000;78,38294; 4,60647
 703,91; 1789,265;    9,001;    0,000;77,81021; 4,57771
 704,67; 1751,309;   10,001;    0,000;76,38143; 4,49847
 705,42; 1739,353;    6,001;    0,000;76,20761; 4,49303
 706,17; 1720,398;    9,001;    0,000;75,30043; 4,44429
 706,93; 1740,442;    8,001;    0,000;76,35034; 4,51106
 707,68; 1731,486;    9,001;    0,000;76,19486; 4,50667
 708,43; 1757,530;    7,001;    0,000;77,58198; 4,59360
 709,19; 1807,574;    8,001;    0,000;79,77445; 4,72844
 709,94; 1849,618;   10,001;    0,000;81,64429; 4,84441
 710,69; 1914,662;    8,001;    0,000;84,86322; 5,04075
 711,45; 2005,706;    8,001;    0,000;89,13755; 5,30025
 712,20; 2117,750;    7,001;    0,000;94,16204; 5,60495
 712,95; 2197,795;    9,001;    0,000;97,69839; 5,82159
 713,71; 2237,839;    8,001;    0,000;99,75885; 5,95065
 714,46; 2258,883;    8,001;    0,000;100,93528; 6,02718
 715,21; 2236,927;    8,001;    0,000;99,89280; 5,97121
 715,96; 2164,971;    7,001;    0,000;96,75538; 5,78976
 716,72; 2084,015;    7,001;    0,000;93,38498; 5,59395
 717,47; 1997,059;    8,001;    0,000;89,66871; 5,37698
 718,22; 1901,103;    9,001;    0,000;85,35200; 5,12350
 718,98; 1869,147;    8,001;    0,000;83,93855; 5,04393
 719,73; 1812,192;    9,001;    0,000;81,54399; 4,90517
 720,48; 1738,236;    8,001;    0,000;78,41351; 4,72179
 721,23; 1696,280;    7,001;    0,000;76,60424; 4,61766
 721,99; 1663,324;    9,001;    0,000;75,01368; 4,52650
 722,74; 1627,368;    8,001;    0,000;73,50098; 4,43984
