PN,,rb,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
616,0.005098359194,616,6.637669139E-5,
615,0.005138670094,615,0.0001061972216,
614,0.005181944929,614,0.0001642775314,
613,0.005186843686,613,0.0001905107347,
612,0.005217626225,612,0.0001625425211,
611,0.005278936122,611,0.0002473590721,
610,0.005227529444,610,0.0001913135493,
609,0.005278883502,609,0.0003119602625,
608,0.00531245023,608,0.0002638322476,
607,0.005319813732,607,0.0003281509271,
606,0.005425354,606,0.0004326664493,
605,0.00535776047,605,0.0004905831302,
604,0.00539573608,604,0.0005363259115,
603,0.0054419199,603,0.0006531020044,
602,0.005438696127,602,0.000730961503,
601,0.005417438224,601,0.0007619225071,
600,0.005459718406,600,0.0008939075633,
599,0.005465852562,599,0.001051180065,
598,0.005424357951,598,0.001167419949,
597,0.005504231434,597,0.001390124555,
596,0.005607902072,596,0.001696562394,
595,0.005542770959,595,0.001936023356,
594,0.005547699984,594,0.002226922894,
593,0.005662973039,593,0.002658481011,
592,0.005685632583,592,0.003165871603,
591,0.005731322337,591,0.003751188284,
590,0.005732319318,590,0.004350158852,
589,0.005771875847,589,0.005149383564,
588,0.005892088637,588,0.006182998884,
587,0.006006692071,587,0.007249481045,
586,0.00602406729,586,0.008636451326,
585,0.006122349296,585,0.01028752513,
584,0.006241136231,584,0.01222426444,
583,0.006373063661,583,0.01460457593,
582,0.006529784296,582,0.01740815118,
581,0.006730884779,581,0.02073117159,
580,0.006874400657,580,0.02466561273,
579,0.006998838857,579,0.0292918887,
578,0.007226081565,578,0.03488124907,
577,0.007521205582,577,0.04151564464,
576,0.007815318182,576,0.04925302044,
575,0.008074580692,575,0.05837437138,
574,0.008383239619,574,0.06902078539,
573,0.008773863316,573,0.0817200616,
572,0.009138373658,572,0.09633523226,
571,0.009639395401,571,0.1132312492,
570,0.01008704957,570,0.1328817457,
569,0.01079372223,569,0.1549977213,
568,0.01137711387,568,0.1809419543,
567,0.01208112575,567,0.2097595781,
566,0.01276884694,566,0.241873011,
565,0.01357587799,565,0.2778560817,
564,0.01439548936,564,0.3169822395,
563,0.0153009994,563,0.3591863811,
562,0.01626547799,562,0.4042593837,
561,0.01718268357,561,0.4520719647,
560,0.01816768385,560,0.5015332699,
559,0.01914659329,559,0.5519456267,
558,0.02010040917,558,0.6014918685,
557,0.02118244767,557,0.6502652764,
556,0.02207611687,556,0.6960166097,
555,0.02287944406,555,0.7383902073,
554,0.02349638753,554,0.7755517364,
553,0.02420432679,553,0.8067948222,
552,0.02454173379,552,0.8312968612,
551,0.02498643473,551,0.8486169577,
550,0.02507314086,550,0.8582116961,
549,0.02512453683,549,0.8604098558,
548,0.02499896474,548,0.8552854061,
547,0.02472641505,547,0.8435663581,
546,0.02426681668,546,0.8258148432,
545,0.02378599346,545,0.803239584,
544,0.02325479127,544,0.7764127254,
543,0.02258046158,543,0.7465660572,
542,0.02199414372,542,0.7143992186,
541,0.02126320638,541,0.6807408333,
540,0.02051984705,540,0.6465027928,
539,0.01979512535,539,0.6120292544,
538,0.01914778352,538,0.5782406926,
537,0.01852439344,537,0.5456454754,
536,0.01787878014,536,0.5144436359,
535,0.01733640395,535,0.4848256409,
534,0.01670134999,534,0.457107693,
533,0.01619064063,533,0.4312565327,
532,0.01575979218,532,0.4076000154,
531,0.01530740876,531,0.3856940567,
530,0.01498942263,530,0.3662967086,
529,0.01455467753,529,0.3488004506,
528,0.01429590583,528,0.3333063722,
527,0.01405287627,527,0.3200329542,
526,0.01389764063,526,0.3087437153,
525,0.01364054251,525,0.2992216349,
524,0.01356588956,524,0.291708529,
523,0.0134546943,523,0.2857731283,
522,0.01331096236,522,0.281342119,
521,0.01329516154,521,0.2783816755,
520,0.01331616752,520,0.2767162323,
519,0.01325454004,519,0.2759123743,
518,0.01325189788,518,0.2759491801,
517,0.01332871243,517,0.2763786912,
516,0.01334384736,516,0.2769246101,
515,0.01328005455,515,0.2774027884,
514,0.01331824902,514,0.2776814699,
513,0.01336197276,513,0.2771215439,
512,0.01332001109,512,0.2758119702,
511,0.0133045027,511,0.2735064626,
510,0.01319735125,510,0.2699489892,
509,0.01309588086,509,0.2651702464,
508,0.01301593333,508,0.2592076063,
507,0.01289967913,507,0.2520412505,
506,0.01273904368,506,0.2438802123,
505,0.01255701762,505,0.2347554117,
504,0.01235615835,504,0.2248618901,
503,0.01219436619,503,0.2145916075,
502,0.01190831512,502,0.2039811313,
501,0.01171623915,501,0.1932962388,
500,0.01152640022,500,0.1825900823,
499,0.01128204539,499,0.1720734239,
498,0.0111832805,498,0.1620516181,
497,0.01102428697,497,0.1523198038,
496,0.01087785419,496,0.1431641281,
495,0.01061343867,495,0.1344486475,
494,0.01052484941,494,0.1264384687,
493,0.01040329412,493,0.1189436987,
492,0.01026327256,492,0.1121020913,
491,0.01011502836,491,0.1058169976,
490,0.01008882467,490,0.1001343951,
489,0.009944375604,489,0.09494180232,
488,0.009891486727,488,0.09024688601,
487,0.009789542295,487,0.08606317639,
486,0.009749326855,486,0.08238271624,
485,0.009791977704,485,0.07907863706,
484,0.009711126797,484,0.07600791007,
483,0.009680474177,483,0.07326932251,
482,0.009730689228,482,0.0708777532,
481,0.009687568061,481,0.06858530641,
480,0.009648527019,480,0.06644032151,
479,0.009638734162,479,0.06442562491,
478,0.00961978361,478,0.06250411272,
477,0.009659854695,477,0.06062072888,
476,0.009654693305,476,0.05866135657,
475,0.009720947593,475,0.0567795746,
474,0.009736089967,474,0.05486011878,
473,0.009762669913,473,0.05287524685,
472,0.009780514054,472,0.05086166039,
471,0.009953698143,471,0.04891901463,
470,0.009978992864,470,0.0468891561,
469,0.01011015289,469,0.04497662187,
468,0.01019290742,468,0.04294300079,
467,0.01034038235,467,0.04111129418,
466,0.01054956764,466,0.03926834837,
465,0.01080624852,465,0.03751556203,
464,0.01105418522,464,0.03591522574,
463,0.01141232438,463,0.03441498429,
462,0.01172544062,462,0.03292996064,
461,0.01212781295,461,0.03160701692,
460,0.01261654776,460,0.03038158268,
459,0.01316514425,459,0.02935331501,
458,0.01376952697,458,0.02835762128,
457,0.01445313077,457,0.02746796049,
456,0.01526724175,456,0.02670405805,
455,0.01593132317,455,0.02593446337,
454,0.01691157557,454,0.0253564734,
453,0.01785515063,453,0.02482979,
452,0.01892181486,452,0.02434226498,
451,0.02000577003,451,0.02382383682,
450,0.02129292116,450,0.0235432256,
449,0.0224787388,449,0.02312326059,
448,0.02383781224,448,0.02287690714,
447,0.02519034222,447,0.02255635895,
446,0.02663463913,446,0.02225424722,
445,0.02812658995,445,0.02202069573,
444,0.02957405336,444,0.02175106853,
443,0.03113496676,443,0.02157572843,
442,0.03274533153,442,0.02136815339,
441,0.03437357023,441,0.02123458311,
440,0.03588339686,440,0.02101842128,
439,0.03747788817,439,0.02080114745,
438,0.03905404359,438,0.02064695582,
437,0.04063499719,437,0.02043252438,
436,0.04216171056,436,0.02029468492,
435,0.04365710914,435,0.02004900761,
434,0.04521113262,434,0.01986969076,
433,0.04665586725,433,0.01969711296,
