AbsoluteIrradiance:245,
335,1.64342598
335,0.99008724
335,1.79829572
336,1.61053354
336,2.08660127
336,2.38305477
336,3.13988756
336,2.656321
337,2.01143275
337,1.5998395
337,1.89540869
337,1.55080033
337,1.98103506
338,1.84094442
338,0.90405962
338,-0.30615781
338,1.38126184
339,3.06620834
339,1.7623323
339,2.01000876
339,2.04996115
339,1.75143399
340,2.48923353
340,2.69054622
340,1.76413589
340,1.85382183
340,2.05425811
341,2.23221094
341,2.33668089
341,2.51278263
341,2.2645365
341,1.75030239
342,2.95402758
342,2.44161816
342,2.23571905
342,2.30084573
342,3.3958442
343,3.65647226
343,1.97644045
343,3.32381338
343,4.28969518
344,2.98385684
344,3.37314317
344,2.83633626
344,2.96294754
344,1.97561827
345,2.70849328
345,3.07219006
345,4.54006694
345,4.64586947
345,4.4469141
346,4.42730891
346,5.70320109
346,5.31132818
346,4.84099666
346,5.66908903
347,6.05438776
347,5.50977119
347,5.8400029
347,5.28990315
347,7.95254245
348,7.92229726
348,7.63611394
348,7.65012676
348,8.29546363
349,8.40296369
349,8.72899781
349,9.33481765
349,10.12270103
349,11.82826914
350,12.88856448
350,14.03329909
350,14.64699022
350,14.27706353
350,15.19399704
351,16.52840635
351,17.10716185
351,17.38674785
351,19.60643996
351,21.44644155
352,23.340418
352,24.33251227
352,25.63148654
352,26.72396975
352,28.15195222
353,30.29117476
353,33.10972148
353,35.1270018
353,37.65070083
354,37.94944721
354,40.55383934
354,44.22033194
354,44.90561565
354,49.35151554
355,53.22425381
355,54.74609259
355,58.10881109
355,62.51078621
355,66.5787542
356,71.57264498
356,75.24273109
356,79.4242084
356,81.7310344
356,89.50460269
357,92.71059204
357,99.53013743
357,104.3141036
357,111.9373435
357,116.8607712
358,120.0668293
358,128.3893346
358,132.7913192
358,141.2236131
359,143.4875065
359,152.4816395
359,159.6177721
359,168.1809362
359,174.4861404
360,181.1840274
360,190.7164343
360,194.5039847
360,206.5010698
360,218.9016115
361,225.5614089
361,239.7776325
361,247.0541941
361,259.7421596
361,266.6859973
362,282.5348978
362,288.1627436
362,300.362884
362,301.2249402
362,307.4168211
363,312.2205064
363,322.6664393
363,327.7152979
363,331.2320507
364,350.5949557
364,377.0900989
364,392.610713
364,419.9556852
364,420.234773
365,426.3779081
365,422.5227949
