RB,,RB2,,Lig,,Jug,,PN,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
700,0.003573229304,700,0.003913913388,700,0.01609446108,700,0.002767466474,700,0.005102000199,
699,0.003557439195,699,0.003922376782,699,0.01610453427,699,0.002722790698,699,0.005135055166,
698,0.003584896214,698,0.003947740421,698,0.01614617556,698,0.002751288936,698,0.005144433118,
697,0.003605385544,697,0.003897353541,697,0.01615229994,697,0.002737091621,697,0.005127171054,
696,0.003518605838,696,0.003928671591,696,0.01607232541,696,0.002661684528,696,0.005069706589,
695,0.00356224156,695,0.003955916967,695,0.01617723331,695,0.002638765378,695,0.005145192612,
694,0.003562789643,694,0.003949935082,694,0.0162082687,694,0.002735710936,694,0.005170732737,
693,0.003606481943,693,0.003971904516,693,0.01625964791,693,0.002726359293,693,0.005233765114,
692,0.003579597687,692,0.003987631295,692,0.01626580022,692,0.002688147128,692,0.005211155396,
691,0.003592674155,691,0.003982667811,691,0.01629262231,691,0.0026977323,691,0.005193707533,
690,0.003553472226,690,0.003995625768,690,0.01625669003,690,0.002584441565,690,0.005161695182,
689,0.003651640378,689,0.003999805544,689,0.01639804058,689,0.002663689898,689,0.005211391021,
688,0.003540814621,688,0.004018694628,688,0.01641874015,688,0.002707890933,688,0.005216814112,
687,0.003627755446,687,0.004017753992,687,0.01648353413,687,0.002665851731,687,0.005251974333,
686,0.003631331492,686,0.00401958311,686,0.01656296663,686,0.00271560112,686,0.005313603207,
685,0.003586175153,685,0.0040243119,685,0.01653817296,685,0.002665304812,685,0.005285407882,
684,0.003641303163,684,0.004083676264,684,0.01662490331,684,0.00271278806,684,0.005346097983,
683,0.003707429394,683,0.004082291387,683,0.01670097187,683,0.002709792461,683,0.005388109479,
682,0.003665789263,682,0.004082004074,682,0.01670705155,682,0.002696768614,682,0.005352492444,
681,0.00367239397,681,0.004065751098,681,0.01673965715,681,0.002646474401,681,0.005443047266,
680,0.003669887781,680,0.004094181117,680,0.01674816012,680,0.002661085455,680,0.005388449878,
679,0.003660594346,679,0.004090914503,679,0.01681628451,679,0.002637437079,679,0.00542771304,
