RB,,lig,,jug,,PN,,blank,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
704,0.002161255805,704,-0.001505968394,704,0.01018206868,704,0.005107631441,704,-8.841746603E-5,
703,0.002056739759,703,-0.001596916816,703,0.01003016997,703,0.004986718763,703,-0.0001869082334,
702,0.002075024182,702,-0.001593770343,702,0.01011086907,702,0.005024164915,702,-0.000204502765,
701,0.002134539187,701,-0.001525212079,701,0.01014401577,701,0.005103361793,701,-9.20407474E-5,
700,0.002057519974,700,-0.001513810363,700,0.01014722232,700,0.005100847688,700,-0.000176661677,
699,0.002010446275,699,-0.001499983598,699,0.01013635844,699,0.005063342396,699,-0.000200259441,
698,0.002051407937,698,-0.001489045681,698,0.01014322136,698,0.005070806481,698,-0.000144678459,
697,0.002081526909,697,-0.001441214699,697,0.01016373094,697,0.005075494759,697,-0.0001730391086,
696,0.002117968863,696,-0.00142165774,696,0.01018119417,696,0.005106767174,696,-0.0001150220123,
695,0.002090500435,695,-0.001460512867,695,0.01018641423,695,0.005046084058,695,-0.0001133139885,
694,0.002025686204,694,-0.001527275657,694,0.01013704762,694,0.005040846299,694,-0.0002103502047,
693,0.002066519111,693,-0.001510663307,693,0.01017425116,693,0.005078768358,693,-0.0001480942592,
692,0.002061291132,692,-0.001427230774,692,0.01021898445,692,0.00501764426,692,-0.0001621711999,
691,0.00209349161,691,-0.001387237338,691,0.0102773197,691,0.005025866907,691,-0.0001266157051,
690,0.001999445958,690,-0.001444568741,690,0.01022574306,690,0.004981664941,690,-0.0001913586893,
689,0.002016167855,689,-0.001428933581,689,0.01023618504,689,0.005018586759,689,-0.0001383643394,
688,0.002062929794,688,-0.001397919725,688,0.0102776112,688,0.005039615557,688,-0.0001262534061,
687,0.001992086414,687,-0.001391985104,687,0.01023226231,687,0.005020629615,687,-0.0001475249592,
686,0.002010680502,686,-0.001402822323,686,0.0102504706,686,0.005008086096,686,-0.0001487153058,
685,0.002021941124,685,-0.00139833265,685,0.01027003117,685,0.005020524841,685,-0.000168536717,
684,0.00201055035,684,-0.00134342094,684,0.01032885071,684,0.005065175705,684,-0.0001375362481,
683,0.001958151348,683,-0.001374025713,683,0.01029855199,683,0.005018481985,683,-0.0001081898736,
682,0.001964417985,682,-0.00137387088,682,0.01030356158,682,0.004984964151,682,-0.0001614466601,
681,0.001987275667,681,-0.001324220793,681,0.0103379162,681,0.005016570445,681,-0.00010560191,
680,0.001955603017,680,-0.001349562663,680,0.0103069013,680,0.005007876549,680,-0.0001698822598,
679,0.002009978285,679,-0.001296244911,679,0.01036527567,679,0.005025290884,679,-0.0001720040746,
678,0.001946034143,678,-0.001310800901,678,0.01034918334,678,0.005016675219,678,-9.592280549E-5,
677,0.00197510561,677,-0.001327782171,677,0.01037280448,677,0.005019215401,677,-0.0001023928198,
